"","위도","경도","공장규모","종업원수","중분류항목명","예상세탁량"
"243",36.3925756156,127.3603255297,"소기업",137,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",41.4757118225098
"244",36.4307213871,127.4248063658,"소기업",10,"기타 기계 및 장비 제조업",4.33021116256714
"245",36.4240664028,127.4061316752,"소기업",5,"기타 운송장비 제조업",11.7542724609375
"246",36.4438083923,127.3991664487,"소기업",25,"화학 물질 및 화학제품 제조업; 의약품 제외",11.8432559967041
"247",36.4143387481,127.4150031659,"소기업",43,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",39.6164283752441
"248",36.4399850946,127.3943227977,"중기업",86,"고무 및 플라스틱제품 제조업",47.1060485839844
"249",36.4468498971,127.394858356,"소기업",35,"비금속 광물제품 제조업",12.6512308120728
"250",36.4312246043,127.4253354764,"소기업",32,"화학 물질 및 화학제품 제조업; 의약품 제외",12.6512308120728
"251",36.4501301632,127.4002296318,"중기업",185,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",47.1060485839844
"252",36.3569208264,127.4536457769,"소기업",16,"의복, 의복 액세서리 및 모피제품 제조업",4.33021116256714
"253",36.4174505411,127.4088690947,"소기업",20,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",8.12892055511475
"254",36.4259750154,127.4042345485,"소기업",7,"기타 기계 및 장비 제조업",4.33021116256714
"255",36.4281578142,127.3979295726,"중기업",50,"의료, 정밀, 광학 기기 및 시계 제조업",44.6921691894531
"256",36.4401128546,127.4129343842,"중기업",131,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",47.1060485839844
"257",36.4451840042,127.4338806841,"소기업",10,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"258",36.4438930648,127.4085272896,"소기업",16,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"259",36.3587349185,127.350135618,"소기업",7,"기타 기계 및 장비 제조업",4.33021116256714
